CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
ANTH 50 (51434),World Geography,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",TR 03:50 PM - 5:30pm,KENNA 306,"Trist, Carolyn",4.00,2
ARTS 74 (50270),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts",TR 02:00 PM - 4:20pm,DOWD 302,"Martin, Michael",4.00,None
ARTS 74 (50267),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts",MW 10:30 AM - 12:50pm,DOWD 302,"Li, Qiuwen",4.00,None
CLAS 173 (51570),Bath and Body Works,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 02:15 PM - 3:20pm,LUCAS 208,"Crofton-Sleigh, Elizabeth Jane",5.00,3
COEN 10 (51219),Introduction to Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,SCDI 3302,"Musurlian, Angela Fontes",4.00,None
COEN 10 (51271),Introduction to Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 11:45 AM - 12:50pm,SCDI 3302,"Musurlian, Angela Fontes",4.00,None
COEN 21 (51236),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 08:30 AM - 10:10am,ALAM 104,"Chan, Donald",4.00,None
COEN 21 (51235),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,HEAFEY 129,"Tran, Dat Tien",4.00,None
COEN 21 (51506),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,SCDI 1301,"Kyrarini, Maria",4.00,None
COEN 21L (51238),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",M 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (51239),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (51241),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (51242),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (51507),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (51240),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 05:15 PM - 8pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COMM 12 (50023),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 02:15 PM - 3:20pm,KENNA 107,"Pustelnik, Grant",4.00,None
COMM 12 (50041),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 08:30 AM - 10:10am,KENNA 107,"Kis, Katalin",4.00,None
COMM 12 (50022),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 11:45 AM - 12:50pm,KENNA 107,"Pustelnik, Grant",4.00,None
CSCI 10 Lab (50287),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",T 03:50 PM - 5:30pm,OCONR 103,"Prokter, Greg",N/A,1
CSCI 10 Lab (50288),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",R 03:50 PM - 5:30pm,OCONR 206,"Prokter, Greg",N/A,3
CSCI 10 Lab (50289),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",T 05:40 PM - 7:20pm,OCONR 103,"Prokter, Greg",N/A,6
CSCI 10 Lab (50296),Intro to Computer Science Lab,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",R 05:40 PM - 7:20pm,OCONR 103,"Prokter, Greg",N/A,7
CSCI 10 (50284),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,OCONR 205,"Ghosh, Smita",5.00,None
CSCI 10 (50285),Intro to Computer Science,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 10:30 AM - 11:35am,ALAM 103,"Linnell, Natalie Blake",5.00,None
DANC 49 (50306),Dance Composition,"Design Thinking (Pathway), Arts",TR 12:10 PM - 1:50pm,MDF 124,"Kusanovich, Kristin A",4.00,14
ECON 1 (51037),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 01:00 PM - 2:05pm,LUCAS 306,"Park, Damian Blase",4.00,None
ECON 1 (51039),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 01:00 PM - 2:05pm,VARI 135,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (51045),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 02:00 PM - 3:40pm,LUCAS 308,"Guo, Audrey M",4.00,None
ECON 1 (51042),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 02:15 PM - 3:20pm,VARI 135,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (51043),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 03:30 PM - 4:35pm,VARI 135,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (51055),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 03:50 PM - 5:30pm,LUCAS 308,"Guo, Audrey M",4.00,None
ECON 1 (51017),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 08:00 AM - 9:05am,LUCAS 307,"Park, Damian Blase",4.00,None
ECON 1 (51018),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 09:15 AM - 10:20am,LUCAS 307,"Park, Damian Blase",4.00,None
ECON 1 (52445),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 09:15 AM - 10:20am,SOBRATO 19,"Hasanaliyev, Orkhan",4.00,None
ECON 1 (51044),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 10:20 AM - 12pm,OCONR 207,"Guo, Audrey M",4.00,None
ECON 1 (51034),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 10:30 AM - 11:35am,LUCAS 307,"Park, Damian Blase",4.00,None
ELEN 21 (51313),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 08:30 AM - 10:10am,ALAM 104,"Chan, Donald",4.00,None
ELEN 21 (51312),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,HEAFEY 129,"Tran, Dat Tien",4.00,None
ELEN 21 (51512),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,SCDI 1301,"Kyrarini, Maria",4.00,None
ELEN 21L (51315),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",M 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,2
ELEN 21L (51316),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELEN 21L (51318),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELEN 21L (51319),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELEN 21L (51513),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELEN 21L (51317),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 05:15 PM - 8pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELSJ 135 (51406),Research:Social Entrepreneursh,"Design Thinking (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Science Technology & Society",MW 03:30 PM - 5:15pm,ALAM 102,"Faria, Jennifer Merritt",5.00,6
ENGL 181 (50365),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",W 05:25 PM - 8:25pm,CASA 3,"Coad, David",4.00,None
ENGR 19 Lab (51518),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",T 02:15 PM - 3:20pm,TBA,"Moles, Kathryn Rose Sharie",N/A,None
ENGR 19 Lab (51862),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",T 03:30 PM - 4:35pm,TBA,"Moles, Kathryn Rose Sharie",N/A,1
ENGR 19 (51352),Ethics in Technology L&L,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",M 11:45 AM - 12:50pm,DALY 206,"Moles, Kathryn Rose Sharie",4.00,2
ENGR 19 Lab (51358),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",W 11:45 AM - 12:50pm,TBA,"Gaudet, Matthew",N/A,1
ENGR 19 Lab (51372),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",F 11:45 AM - 12:50pm,TBA,"Gaudet, Matthew",N/A,None
ENGR 110 (51351),Community Based Engr. Design,"Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",T 02:15 PM - 5pm,SCDI 2301,"Kuczenski, Jessica Anderson",3.00,3
ENVS 21 Lab (50421),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",M 01:00 PM - 3:45pm,SCDI 3205,"Siciliano, Daria",N/A,None
ENVS 21 Lab (50422),Environmental Biology Lab,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",W 01:00 PM - 3:45pm,SCDI 3205,"Siciliano, Daria",N/A,None
ENVS 21 (50420),Environmental Biology,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",MWF 10:30 AM - 11:35am,ALAM 105,"Siciliano, Daria",5.00,None
ENVS 50 (51450),World Geography,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",TR 03:50 PM - 5:30pm,KENNA 306,"Trist, Carolyn",4.00,None
ENVS 146 (50425),"Agri, Env & Dev: Latin America","Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",T 03:50 PM - 7:05pm,OCONR 207,"Nicholls, Clara",5.00,28
HIST 27 (51632),Public & Digital History,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Civic Engagement",MWF 11:45 AM - 12:50pm,GRAHAM 163,"Gudgeirsson, Megan Elizabeth",4.00,5
HIST 79 (50473),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,OCONR 204,"Newsom Kerr, Matthew L.",4.00,1
HIST 127 (51638),Public & Digital History,"Design Thinking (Pathway), Paradigm Shifts (Pathway), The Digital Age (Pathway), Civic Engagement",MWF 11:45 AM - 12:50pm,GRAHAM 163,"Gudgeirsson, Megan Elizabeth",5.00,5
HIST 179 (50474),Technology: Steam to Cyborgs,"Design Thinking (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 02:00 PM - 3:40pm,OCONR 204,"Newsom Kerr, Matthew L.",5.00,1
MECH 10L (51375),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)",M 02:15 PM - 5pm,HEAFEY 107,"Mahadev, Sthanu",1.00,7
MECH 10L (51377),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,HEAFEY 107,"Mahadev, Sthanu",1.00,None
MECH 10L (51388),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,HEAFEY 107,"Tszeng, T. Calvin",1.00,None
MECH 10L (51519),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,HEAFEY 107,"Mahadev, Sthanu",1.00,None
MECH 10L (51520),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,HEAFEY 107,"Mahadev, Sthanu",1.00,8
MECH 10L (51376),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)",T 11:00 AM - 1:45pm,HEAFEY 107,"Tszeng, T. Calvin",1.00,None
MECH 10L (51403),Engineering Graphics & CAD I,"Design Thinking (Pathway), The Digital Age (Pathway)",R 11:00 AM - 1:45pm,HEAFEY 107,"Tszeng, T. Calvin",1.00,None
MGMT 40 (51715),Found Knldg of Mgning Sustain,"Design Thinking (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",T 10:20 AM - 12pm,VARI 135,"Kalkbrenner, Lindsey K.",2.00,12
MGMT 41 (56137),Founda Skill of Mgning Sustain,"Design Thinking (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",TBA,TBA,TBA,2.00,30
MGMT 110 (51720),Global Microfin for Entrep Dev,"Design Thinking (Pathway), Experiential Learning for Social Justice",MWF 11:45 AM - 12:50pm,LUCAS 207,"Le, Long S.",5.00,None
MGMT 164 (56135),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)",TBA,TBA,TBA,5.00,28
MGMT 164 (56371),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)",TBA,TBA,TBA,5.00,28
MGMT 164 (51090),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)",TR 12:10 PM - 1:50pm,KENNA 306,"El-Zayaty, Andy",5.00,None
MGMT 176 (51915),Sustainable Food Systems,"Design Thinking (Pathway), Feeding the World (Pathway), Values Science Technology (Pathway)",TR 12:10 PM - 1:50pm,LUCAS 209,"French-Arnold, Erica Whitney",5.00,None
OMIS 105 (56325),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)",TBA,TBA,TBA,5.00,34
OMIS 105 (51139),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 02:00 PM - 3:40pm,LUCAS 210,"Wan, Xiang",5.00,3
OMIS 105 (51157),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,LUCAS 210,"Wan, Xiang",5.00,None
OMIS 107 (51161),Systems Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 10:20 AM - 12pm,LUCAS 210,"Samorani, Michele",5.00,None
SOCI 60 (55831),Intro Social Entrepreneurship,"Design Thinking (Pathway), Social Science",TBA,TBA,TBA,4.00,29
SOCI 185 (51870),Social Entrepreneurship,"Design Thinking (Pathway), Values Science Technology (Pathway), Vocation (Pathway), Experiential Learning for Social Justice, Science Technology & Society",MW 03:30 PM - 5:15pm,ALAM 102,"Faria, Jennifer Merritt",5.00,6
THTR 32 (50915),Costume Construction,"Design Thinking (Pathway), Arts",TR 08:30 AM - 10:10am,MAYER CS,"Gleason, Tasa",4.00,None
THTR 33 (50906),Stage Lighting,"Design Thinking (Pathway), Arts",MWF 01:00 PM - 2:05pm,FSPKR 1,"Duarte, Derek E",4.00,None
ANTH 50 (50006),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",MW 03:30 PM - 5:15pm,KENNA 306,"Trist, Carolyn",4.00,1
ANTH 133 (51531),Human Nutrition & Culture,"Feeding the World (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 08:00 AM - 9:05am,OCONR 201,"Cruz, Isaura",5.00,5
ANTH 185 (51535),Anthropologies: Latin America,"Feeding the World (Pathway), Cultures and Ideas 3",TR 10:20 AM - 12pm,DOWD 210,"Miranda, Veronica",5.00,None
ECON 134 (51052),African Economic Development,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",TR 12:10 PM - 1:50pm,KENNA 216,"Kevane, Michael",5.00,None
ENGL 156 (56340),Global Literatures,"Feeding the World (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway), Islamic Studies (Pathway), Cultures and Ideas 3",TBA,TBA,TBA,5.00,29
ENGL 156 (56397),Global Literatures,"Feeding the World (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway), Islamic Studies (Pathway), Cultures and Ideas 3",TBA,TBA,TBA,5.00,29
ENVS 50 (50415),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",MW 03:30 PM - 5:15pm,KENNA 306,"Trist, Carolyn",4.00,None
POLI 40 (50775),Politics of US Econ Policies,"Feeding the World (Pathway), Social Science",TR 12:10 PM - 1:50pm,OCONR 207,"Faulve-Montojo, Kenneth Wilfred",4.00,6
SOCI 134 (56478),Globalization & Inequality,"Feeding the World (Pathway), Gender, Globalization & Empire (Pathway), Leading People, Org & Soc Chng (Pathway), Cultures and Ideas 3",TBA,TBA,TBA,5.00,30
SOCI 165 (50854),Human Services,"Feeding the World (Pathway), Race Place & Soc Inequalities (Pathway), Experiential Learning for Social Justice",TR 03:50 PM - 5:30pm,ALAM 103,"Yuter, Sheila M",5.00,1
HIST 116S (51637),Sex & Gender:High Imperialism,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3",TR 03:50 PM - 5:30pm,OCONR 204,"Andrews, Naomi J",5.00,1
HIST 136 (51639),Postwar Europe: Gender & Race,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Cultures and Ideas 3",TR 12:10 PM - 1:50pm,OCONR 106,"Randall, Amy E",5.00,8
HIST 150 (51640),Gender&Sexuality in East Asia,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3",TR 02:00 PM - 3:40pm,OCONR 106,"Molony, Barbara A",5.00,10
WGST 124 (51700),Sex & Gender:High Imperialism,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3",TR 03:50 PM - 5:30pm,OCONR 204,"Andrews, Naomi J",5.00,1
WGST 126 (51702),Gender&Sexuality in East Asia,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Cultures and Ideas 3",TR 02:00 PM - 3:40pm,OCONR 106,"Molony, Barbara A",5.00,10
WGST 172 (51706),Postwar Europe: Gender & Race,"Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Paradigm Shifts (Pathway), Cultures and Ideas 3",TR 12:10 PM - 1:50pm,OCONR 106,"Randall, Amy E",5.00,8
ENGL 144G (51610),18th Century Women British Lit,"Gender, Sexuality & the Body (Pathway)",TR 10:20 AM - 12pm,KENNA 310,"Leuner, Kirstyn Jean",5.00,12
ETHN 54A (52008),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Diversity",TR 03:50 PM - 5:30pm,WALSH MULP,"Heard, CiAuna",4.00,None
ETHN 154 (50449),Women of Color in the US,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 111,"Heard, CiAuna",5.00,9
ETHN 154A (51625),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science",TR 03:50 PM - 5:30pm,WALSH MULP,"Heard, CiAuna",5.00,None
SOCI 126 (51686),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science",TR 03:50 PM - 5:30pm,WALSH MULP,"Heard, CiAuna",5.00,None
WGST 25 (51698),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Diversity",TR 03:50 PM - 5:30pm,WALSH MULP,"Heard, CiAuna",4.00,None
WGST 51 (50933),Introduction to LGBTQ Studies,"Gender, Sexuality & the Body (Pathway), Diversity",TR 10:20 AM - 12pm,OCONR 104,"Whitestone, Stephenson",4.00,None
WGST 125 (51701),Intersectionality: Prncpl&Prax,"Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity, Social Science",TR 03:50 PM - 5:30pm,WALSH MULP,"Heard, CiAuna",5.00,None
WGST 141A (51704),18th Cent. Women British Lit,"Gender, Sexuality & the Body (Pathway)",TR 10:20 AM - 12pm,KENNA 310,"Leuner, Kirstyn Jean",5.00,17
POLI 142 (56383),Politics in Middle East,"Islamic Studies (Pathway), Politics & Religion (Pathway)",TBA,TBA,TBA,5.00,34
POLI 142 (50784),Politics in Middle East,"Islamic Studies (Pathway), Politics & Religion (Pathway)",TR 03:50 PM - 5:30pm,KENNA 304,"Senzai, Farid D",5.00,16
SCTR 19 (50836),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1",MWF 08:00 AM - 9:05am,KENNA 107,"Chopra-McGowan, Cathleen",4.00,None
SCTR 19 (50837),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1",MWF 11:45 AM - 12:50pm,OCONR 103,"Chopra-McGowan, Cathleen",4.00,None
MUSC 130 (51647),Anthropology of Music,"Justice and the Arts (Pathway), Cultures and Ideas 3",TR 12:10 PM - 1:50pm,MDF 119,"Zanfagna, Christina M",5.00,1
ENGL 115 (51607),Argumentation,"Law & Social Justice (Pathway), Advanced Writing",TR 10:20 AM - 12pm,OCONR 110,"Billings, Simone Jacqueline",5.00,1
BUSN 196 (50998),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)",TBA,TBA,"Mains, William James",.00,18
BUSN 196 (51009),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)",TBA,TBA,"Versteeg, Brenda Joyce",1.00,None
MILS 11 Lab (51421),The Army and Critical Thinking Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Strain, Christopher John",N/A,59
MILS 11 (51420),The Army and Critical Thinking,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,SCDI 3301,"Landon, Geoffery M",3.00,24
MILS 21 Lab (51423),Leadership and Decision Making Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Strain, Christopher John",N/A,54
MILS 21 (51422),Leadership and Decision Making,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,HEAFEY 225,"Strain, Christopher John",3.00,19
MILS 131 Lab (51425),Intro Management Warfighting Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Strain, Christopher John",N/A,56
MILS 131 (51424),Intro Management Warfighting,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,DOWD 210,"Ryan, Elizabeth Jordyn",4.00,21
MILS 141 Lab (51427),The Army Officer Lab,"Leading People, Org & Soc Chng (Pathway)",W 02:15 PM - 5pm,DALY 206,"Strain, Christopher John",N/A,57
MILS 141 (51426),The Army Officer,"Leading People, Org & Soc Chng (Pathway)",TR 08:30 AM - 10:10am,DOWD 208,"Ryan, Elizabeth Jordyn",4.00,22
ARTH 120 (53821),Keeping up with the Medici,"Paradigm Shifts (Pathway), Advanced Writing",TBA,TBA,TBA,5.00,30
COEN 19 (51270),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 03:30 PM - 4:35pm,OCONR 106,"Grice, Joshua",4.00,7
COEN 19 (51227),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 08:00 AM - 9:05am,OCONR 105,"McGinley, Sarah Tamsen",4.00,2
COEN 19 (51231),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,OCONR 207,"Walden, Byron L",4.00,7
MATH 51 (50556),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 03:30 PM - 4:35pm,OCONR 106,"Grice, Joshua",4.00,7
MATH 51 (50523),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 08:00 AM - 9:05am,OCONR 105,"McGinley, Sarah Tamsen",4.00,3
MATH 51 (50529),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,OCONR 207,"Walden, Byron L",4.00,9
PHIL 19 (50705),Knowledge and Reality,"Paradigm Shifts (Pathway), Advanced Writing",MWF 10:30 AM - 11:35am,SCDI 2301,"Yang, Eric Timothy",4.00,17
TESP 2 (50892),"Magicians, Athletes & God","Paradigm Shifts (Pathway), Religion Theology & Culture 1",TR 10:20 AM - 12pm,KENNA 212,"Vance-Trembath, Sally M",4.00,None
TESP 50 (56372),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2",TBA,TBA,TBA,4.00,35
TESP 50 (50897),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 11:45 AM - 12:50pm,CASA 8,"Raby, Elyse",4.00,None
TESP 124 (50887),Theology of Marriage,"Paradigm Shifts (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,KENNA 214,"Vance-Trembath, Sally M",5.00,None
COMM 116 (50042),Intercultural Communication,"Race Place & Soc Inequalities (Pathway), Diversity, Experiential Learning for Social Justice",MW 03:30 PM - 5:15pm,OCONR 204,"Cheng, Hsin-I",5.00,None
ETHN 20 (50439),Intro to Latina/o/x Studies,"Race Place & Soc Inequalities (Pathway), Diversity",TR 08:30 AM - 10:10am,OCONR 103,"Fernandez, Jesica Siham",4.00,None
ETHN 20 (51454),Intro to Latina/o/x Studies,"Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,OCONR 103,"Sampaio, Anna Christina",4.00,2
ETHN 127 (54355),Race and Mass Incarceration,"Race Place & Soc Inequalities (Pathway), Diversity",TBA,TBA,TBA,5.00,30
ETHN 127 (50440),Race and Mass Incarceration,"Race Place & Soc Inequalities (Pathway), Diversity",MW 03:30 PM - 5:15pm,ALAM 101,"Griffin, Allia Ida",5.00,None
HIST 91 (51635),Africa in World History,"Race Place & Soc Inequalities (Pathway), Cultures and Ideas 3",MW 03:30 PM - 5:15pm,HEAFEY 225,"Odamtten, Harry Nii Koney",4.00,13
PHIL 186 (51657),Philosophy of Race,"Race Place & Soc Inequalities (Pathway), Diversity",TR 10:20 AM - 12pm,CASA 3,"Clardy, Justin",5.00,1
PHSC 125 (50728),"Race, Class, Gender, and PH","Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,OCONR 104,"Chang, Jamie Suki",5.00,1
