CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
POLI 153 (50778),Minority Politics in the US,"American Studies (Pathway), Democracy (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,KENNA 212,"Lai, James S",5.00,None
POLI 154 (51670),Women and Politics,"American Studies (Pathway), Diversity",MWF 09:15 AM - 10:20am,KENNA 105,"Morlang, Diana",5.00,None
RSOC 21 (50829),Urban Religion,"American Studies (Pathway), Religion Theology & Culture 2",TR 03:50 PM - 5:30pm,KENNA 105,"Drescher, Elizabeth",4.00,4
RSOC 51 (50817),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",MWF 01:00 PM - 2:05pm,KENNA 111,"Lampley, Karl Willie",4.00,None
RSOC 51 (51480),Religion in America,"American Studies (Pathway), Religion Theology & Culture 2",TR 07:30 PM - 9:10pm,KENNA 308,"Wright, Jaime D.",4.00,None
RSOC 111R (51681),RSS:Inventing Religion in Amer,"American Studies (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,DOWD 122,"Bennett, James",5.00,2
RSOC 184 (50824),Race & Religion in U.S.,"American Studies (Pathway), Race Place & Soc Inequalities (Pathway), Religion Theology & Culture 3",T 06:00 PM - 9pm,KENNA 109,"Moles, Kathryn Rose Sharie",5.00,None
SOCI 33 (50853),Social Problems in the U.S.,"American Studies (Pathway), Feeding the World (Pathway), Law & Social Justice (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",MW 03:30 PM - 5:15pm,SCDI 2302,"King, Molly Mccarthy",4.00,None
SOCI 150 (51687),Immigrant Businesses in the US,"American Studies (Pathway), Diversity",TR 03:50 PM - 5:30pm,ALAM 101,"Di, Di",5.00,None
SOCI 157 (51688),Sociology of Family,"American Studies (Pathway), Children, Family, & Society (Pathway), Democracy (Pathway), Gender, Sexuality & the Body (Pathway), Civic Engagement",MWF 10:30 AM - 11:35am,ALAM 102,"Chiaraluce, Cara Ann",5.00,1
SPAN 176 (51691),Spanish & Latinxs in the U.S.,"American Studies (Pathway), Diversity",MWF 01:00 PM - 2:05pm,KENNA 310,"Callahan, Laura M",5.00,6
WGST 50 (50929),Intro:Women's & Gender Studies,"American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MW 03:30 PM - 5:15pm,BERGIN 214,"Perez, Emily",4.00,None
WGST 57 (50932),Women in American Society,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 10:30 AM - 11:35am,CASA 3,"Unger, Nancy C",4.00,None
WGST 57 (50926),Women in American Society,"American Studies (Pathway), Beauty (Pathway), Gender, Sexuality & the Body (Pathway), Law & Social Justice (Pathway), Leading People, Org & Soc Chng (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Diversity",MWF 11:45 AM - 12:50pm,CASA 3,"Unger, Nancy C",4.00,None
WGST 144 (50934),"Women, Gender, and Sexuality","American Studies (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 04:45 PM - 5:50pm,VARI 134,"Grace, Samantha Lois",5.00,23
WGST 155 (51705),"Family, Kin & Culture","American Studies (Pathway), Children, Family, & Society (Pathway), Gender, Sexuality & the Body (Pathway), Diversity",MWF 01:00 PM - 2:05pm,DOWD 208,"Grace, Samantha Lois",5.00,None
WGST 166 (50937),"Women, Literature and Theory","American Studies (Pathway), Gender, Sexuality & the Body (Pathway), Race Place & Soc Inequalities (Pathway), Diversity",TR 02:00 PM - 3:40pm,OCONR 105,"Edelstein, Marilyn J",5.00,16
WGST 180 (51861),Women and Politics,"American Studies (Pathway), Diversity",MWF 09:15 AM - 10:20am,KENNA 105,"Morlang, Diana",5.00,None
BUSN 132 (51879),CLASP,"Applied Ethics (Pathway), Sustainability (Pathway)",R 10:20 AM - 12pm,VARI 135,"Frontczak, Deirdre Mary Sheen",2.00,18
MGMT 6 (56132),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TBA,TBA,TBA,4.00,4
MGMT 6 (51089),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 02:00 PM - 3:40pm,LUCAS 207,"Santoro, Michael Anthony",4.00,None
MGMT 6 (52475),Business Ethics,"Applied Ethics (Pathway), Design Thinking (Pathway), Ethics, Partial Credit Civic Engagement",TR 02:00 PM - 3:40pm,KENNA 218,"Hadreas, Peter",4.00,1
