CLASS,DESCRIPTION,CORES SATISFIED,DAYS/TIMES,ROOM,INSTRUCTOR,UNITS,SEATS REMAINING
WGST 101 (59238),Feminist Theory,"Democracy (Pathway), Gender, Globalization & Empire (Pathway), Gender, Sexuality & the Body (Pathway), Civic Engagement, Diversity",MW 03:30 PM - 5:15pm,OCONR 201,"Perez, Emily",5.00,3
ANTH 50 (60114),World Geography,"Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",MWF 10:30 AM - 11:35am,ALAM 102,"Gray, Leslie",4.00,None
ARTH 167 (58401),"Cityscapes, Past and Present","Design Thinking (Pathway), Politics & Religion (Pathway), Sustainability (Pathway)",TR 03:50 PM - 5:30pm,DOWD 208,"Clydesdale, Heather D",5.00,7
ARTS 74 (58410),Basic Digital Imaging,"Design Thinking (Pathway), The Digital Age (Pathway), Arts",MW 06:00 PM - 8:20pm,DOWD 302,"Martin, Michael",4.00,None
ARTS 175 (58421),Graphic Design II,"Design Thinking (Pathway), Arts",MW 01:00 PM - 3:20pm,DOWD 302,"Li, Qiuwen",5.00,None
ARTS 177 (60757),Website Graphic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",MW 03:30 PM - 5:50pm,DOWD 310,"Li, Qiuwen",5.00,None
ARTS 177 (58412),Website Graphic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",MW 10:30 AM - 12:50pm,DOWD 302,"Li, Qiuwen",5.00,None
BIOE 196 (59478),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 02:15 PM - 3:15pm,ALAM 102,"Araci, Ismail Emre",2.00,7
BIOL 18 Lab (58469),Exploring Biotechnology L+L Lab,"Design Thinking (Pathway), Values Science Technology (Pathway)",W 01:00 PM - 2:30pm,SCDI 3303,"Chartrand, Michelle McCully",N/A,2
BIOL 18 Lab (58468),Exploring Biotechnology L+L Lab,"Design Thinking (Pathway), Values Science Technology (Pathway)",M 02:00 PM - 3:30pm,SCDI 3303,"Chartrand, Michelle McCully",N/A,6
BIOL 18 Lab (58470),Exploring Biotechnology L+L Lab,"Design Thinking (Pathway), Values Science Technology (Pathway)",W 02:50 PM - 4:20pm,SCDI 3303,"Chartrand, Michelle McCully",N/A,5
BIOL 18 (58466),Exploring Biotechnology L+L,"Design Thinking (Pathway), Values Science Technology (Pathway)",MWF 09:15 AM - 10:20am,SCDI 3116,"Chartrand, Michelle McCully",4.00,12
BIOL 18 Lab (58467),Exploring Biotechnology L+L Lab,"Design Thinking (Pathway), Values Science Technology (Pathway)",M 12:10 PM - 1:40pm,SCDI 3303,"Chartrand, Michelle McCully",N/A,None
COEN 21 (59600),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,SCDI 3302,"Kyrarini, Maria",4.00,1
COEN 21L (59547),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (59571),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (59602),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
COEN 21L (59605),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,1
COEN 21L (59570),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 05:15 PM - 8pm,SCDI 4001,"Yang, Hoeseok",1.00,1
COEN 21L (59601),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 05:15 PM - 8pm,SCDI 4001,"Yang, Hoeseok",1.00,1
COEN 196 (59538),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,DALY 207,"Dezfouli, Behnam",2.00,84
COEN 196 (59539),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Li, Xiang",2.00,9
COEN 196 (59540),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Anastasiu, Dragos Constantin",2.00,4
COEN 196 (59548),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Atkinson, Darren C",2.00,10
COEN 196 (59552),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Eskafi, Farokh Hassanzadeh",2.00,10
COEN 196 (59562),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Fang, Yi",2.00,6
COEN 196 (59565),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Figueira, Silvia Maria B",2.00,None
COEN 196 (59576),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Hsiao, Ihan",2.00,3
COEN 196 (59577),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Musurlian, Angela Fontes",2.00,10
COEN 196 (59578),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Kitts, Christopher A",2.00,9
COEN 196 (59588),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Ling, Nam",2.00,9
COEN 196 (59608),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Choi, Sean",2.00,None
COEN 196 (59609),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Ackerman, Margareta",2.00,10
COEN 196 (59610),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Dezfouli, Behnam",2.00,10
COEN 196 (60057),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Liu, Ying",2.00,27
COEN 196 (60058),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Lukoff, Kai",2.00,20
COEN 196 (60059),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Kreminski, Max",2.00,28
COEN 196 (60060),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",F 03:30 PM - 4:35pm,TBA,"Shang, Weijia",2.00,30
COMM 12 (58580),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 09:15 AM - 10:20am,KENNA 107,"Pustelnik, Grant",4.00,None
COMM 12 (58591),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 10:30 AM - 11:35am,KENNA 107,"Kis, Katalin",4.00,10
COMM 12 (58601),Technology and Communication,"Design Thinking (Pathway), The Digital Age (Pathway), Values Science Technology (Pathway), Science Technology & Society",MWF 11:45 AM - 12:50pm,KENNA 107,"Kis, Katalin",4.00,5
ECON 1 (59329),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 01:00 PM - 2:05pm,GRAHAM 163,"Huang, Hui",4.00,None
ECON 1 (59314),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 09:15 AM - 10:20am,LUCAS 306,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (59315),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 10:30 AM - 11:35am,LUCAS 306,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (59326),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",MWF 11:45 AM - 12:50pm,LUCAS 306,"Cameron-Loyd, Patricia Jane",4.00,None
ECON 1 (59331),Principles of Microeconomics,"Design Thinking (Pathway), Sustainability (Pathway), Social Science",TR 12:10 PM - 1:50pm,LUCAS 206,"Shin, Dongsoo",4.00,None
ECON 101 (59348),"Resources, Food & the Environ","Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway)",MW 03:30 PM - 5:15pm,LUCAS 307,"Baker, Gregory A",5.00,None
ELEN 21 (59645),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 08:30 AM - 10:10am,SCDI 3302,"Chan, Donald",4.00,13
ELEN 21 (59644),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,SCDI 3116,"Tran, Dat Tien",4.00,None
ELEN 21 (59652),Introduction to Logic Design,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,SCDI 3302,"Kyrarini, Maria",4.00,None
ELEN 21L (59637),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELEN 21L (59647),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,2
ELEN 21L (59654),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",R 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELEN 21L (59660),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",F 02:15 PM - 5pm,SCDI 4001,"Yang, Hoeseok",1.00,7
ELEN 21L (59646),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",T 05:15 PM - 8pm,SCDI 4001,"Yang, Hoeseok",1.00,None
ELEN 21L (59653),Logic Design Lab,"Design Thinking (Pathway), The Digital Age (Pathway)",W 05:15 PM - 8pm,SCDI 4001,"Yang, Hoeseok",1.00,7
ELEN 196 (59635),Design Project III,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",M 03:30 PM - 4:35pm,SCDI 3115,"Wolfe, Andrew",1.00,None
ELSJ 134 (59733),Seminr:Social Entrepreneurship,"Design Thinking (Pathway), Sustainability (Pathway)",TBA,ONLINE,"Faria, Jennifer Merritt",5.00,12
ELSJ 134 (60070),Seminr:Social Entrepreneurship,"Design Thinking (Pathway), Sustainability (Pathway), Experiential Learning for Social Justice",TBA,ONLINE,"Faria, Jennifer Merritt",5.00,12
ENGL 181 (58659),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",MWF 02:15 PM - 3:20pm,HEAFEY 225,"Hendricks, Jacquelyn Rose",4.00,None
ENGL 181 (59818),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",MWF 02:15 PM - 3:20pm,MDF 119,"Tarnoff, Maura Michelle",4.00,4
ENGL 181 (58656),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",W 03:30 PM - 6:30pm,GRAHAM 163,"Conefrey, Theresa C",4.00,None
ENGL 181 (58657),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",M 03:30 PM - 6:30pm,GRAHAM 163,"Conefrey, Theresa C",4.00,None
ENGL 181 (58660),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",TR 08:30 AM - 10:10am,OCONR 209,"Pfeiffer, Loring A",4.00,5
ENGL 181 (58658),Engineering Communications,"Design Thinking (Pathway), Advanced Writing, Partial Credit Arts, Partial Credit Engineering, Math, CS",MWF 11:45 AM - 12:50pm,HEAFEY 225,"Hendricks, Jacquelyn Rose",4.00,None
ENGR 19 (60084),Ethics in Technology L&L,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",M 01:00 PM - 2:05pm,BERGIN 116,"Moles, Kathryn Rose Sharie",4.00,None
ENGR 19 Lab (60085),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",T 02:00 PM - 3:05pm,HEAFEY 125,"Moles, Kathryn Rose Sharie",N/A,None
ENGR 19 Lab (60086),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",T 03:10 PM - 4:15pm,HEAFEY 125,"Moles, Kathryn Rose Sharie",N/A,None
ENGR 19 Lab (60088),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",W 03:30 PM - 4:35pm,VARI 232,"Moles, Kathryn Rose Sharie",N/A,None
ENGR 19 Lab (60087),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",T 04:25 PM - 5:30pm,BERGIN 214,"Moles, Kathryn Rose Sharie",N/A,None
ENGR 19 Lab (60089),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",W 04:45 PM - 5:50pm,VARI 232,"Moles, Kathryn Rose Sharie",N/A,None
ENGR 19 Lab (60090),Ethics in Technology L&L Lab,"Design Thinking (Pathway), The Digital Age (Pathway), Ethics",W 06:00 PM - 7:05pm,VARI 232,"Moles, Kathryn Rose Sharie",N/A,None
ENGR 110 (59675),Community Based Engr. Design,"Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Civic Engagement",T 02:15 PM - 5pm,SCDI 3116,"Boylan-Ashraf, Anne (Peggy)",3.00,None
ENGR 141 (60091),Innovation Theology,"Design Thinking (Pathway), Religion Theology & Culture 2",TR 02:00 PM - 3:40pm,ALAM 102,"Vincent, Harry",4.00,None
ENGR 161 (59684),Cultures of Innovation,"Design Thinking (Pathway), Cultures and Ideas 3",TR 10:20 AM - 12pm,VARI 134,"Ji, Xiaoying",5.00,1
ENVS 180 (59917),Energy and the Environment,"Design Thinking (Pathway), Sustainability (Pathway), Values Science Technology (Pathway), Science Technology & Society",MW 03:30 PM - 5:15pm,LUCAS 308,"Hughes, Stephanie E",5.00,None
MECH 196 (59705),Advanced Design III: Comp/Ev,"Design Thinking (Pathway), Partial Credit Arts, Partial Credit Civic Engagement",MWF 11:45 AM - 12:50pm,SCDI 2302,"Tszeng, T. Calvin",3.00,7
MGMT 42 (59397),Leading from Triple Bottm Line,"Design Thinking (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Values Science Technology (Pathway)",MW 03:30 PM - 5:15pm,VARI 129,"Frontczak, Deirdre Mary Sheen",4.00,13
MGMT 110 (60035),Global Microfin for Entrep Dev,"Design Thinking (Pathway), Experiential Learning for Social Justice",MWF 10:30 AM - 11:35am,KENNA 104,"Le, Long S.",5.00,None
MGMT 164 (60036),Introduction to Entrepreneursh,"Design Thinking (Pathway), Vocation (Pathway)",MW 03:30 PM - 5:15pm,VARI 133,"Johnson, Christina Andrea",5.00,8
MGMT 173 (59398),"Resources, Food & the Environ","Design Thinking (Pathway), Feeding the World (Pathway), Sustainability (Pathway)",MW 03:30 PM - 5:15pm,LUCAS 307,"Baker, Gregory A",5.00,None
MGMT 175 (60039),Flourishing at Work,"Design Thinking (Pathway), Vocation (Pathway)",TR 03:50 PM - 5:30pm,LUCAS 306,"Sackett, Esther Erin",5.00,None
MGMT 177 (59399),Cultures of Innovation,"Design Thinking (Pathway), Cultures and Ideas 3",TR 10:20 AM - 12pm,VARI 134,"Ji, Xiaoying",5.00,1
OMIS 105 (59459),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 03:50 PM - 5:30pm,LUCAS 310,"Wan, Xiang",5.00,None
OMIS 105 (59444),Database Management Systems,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 12:10 PM - 1:50pm,KENNA 216,"Sahan, Nihal",5.00,None
OMIS 107 (59464),Systems Programming,"Design Thinking (Pathway), The Digital Age (Pathway)",TR 02:00 PM - 3:40pm,ONLINE,"Samorani, Michele",5.00,None
SOCI 184 (60021),Social Entrepreneurship,"Design Thinking (Pathway), Sustainability (Pathway), Experiential Learning for Social Justice",TBA,ONLINE,"Faria, Jennifer Merritt",5.00,12
SOCI 184 (60022),Social Entrepreneurship,"Design Thinking (Pathway), Sustainability (Pathway), Experiential Learning for Social Justice",TBA,ONLINE,"Faria, Jennifer Merritt",5.00,12
TESP 16 (60005),"Religion, Science and Ecology","Design Thinking (Pathway), Paradigm Shifts (Pathway), Sustainability (Pathway), Religion Theology & Culture 1",MWF 01:00 PM - 2:05pm,KENNA 218,"Schutz, Paul James",4.00,None
THTR 33 (59233),Stage Lighting,"Design Thinking (Pathway), Arts",MWF 01:00 PM - 2:05pm,FSPKR 1,"Palumbo, Michael",4.00,None
ANTH 185 (58391),Anthropologies: Latin America,"Feeding the World (Pathway), Cultures and Ideas 3",TR 10:20 AM - 12pm,HEAFEY 125,"Miranda, Veronica",5.00,1
BUSN 151B (59308),FHPE Immersion Reflection,"Feeding the World (Pathway), Sustainability (Pathway), Experiential Learning for Social Justice",TBA,TBA,"Baker, Gregory A",2.00,None
ECON 135 (59349),Gender Issues in Dev World,"Feeding the World (Pathway), Gender, Globalization & Empire (Pathway), Human Rights (Pathway)",TR 12:10 PM - 1:50pm,KENNA 304,"Kevane, Michael",5.00,11
ENVS 50 (58704),World Geography,"Feeding the World (Pathway), Sustainability (Pathway), Cultures and Ideas 3",MWF 10:30 AM - 11:35am,ALAM 102,"Gray, Leslie",4.00,None
ENVS 132 (59912),Agroecology L & L,"Feeding the World (Pathway), Sustainability (Pathway)",MWF 01:00 PM - 2:05pm,OCONR 109,"Kerr, Amber Catherine",5.00,2
ENVS 132 Lab (59913),Agroecology L & L Lab,"Feeding the World (Pathway), Sustainability (Pathway)",M 02:15 PM - 5pm,SCDI 3205,"Kerr, Amber Catherine",N/A,2
ENVS 155 (58710),Environmental & Food Justice,"Feeding the World (Pathway), Sustainability (Pathway), Experiential Learning for Social Justice",TR 03:50 PM - 5:30pm,OCONR 107,"Bacon, Christopher Manes",5.00,14
POLI 40 (59089),Politics of US Econ Policies,"Feeding the World (Pathway), Social Science",MWF 11:45 AM - 12:50pm,KENNA 105,"Faulve-Montojo, Kenneth Wilfred",4.00,17
WGST 121 (60127),Gender Issues in Dev World,"Gender, Globalization & Empire (Pathway), Human Rights (Pathway)",TR 12:10 PM - 1:50pm,KENNA 304,"Kevane, Michael",5.00,11
WGST 135 (60027),"Film, Gender & Globalization","Gender, Globalization & Empire (Pathway), Cultures and Ideas 3",MW 05:25 PM - 7:10pm,ONLINE,"Sharangpani, Mukta H",5.00,None
HIST 24 (60499),Sexually Transmitted Diseases,"Gender, Sexuality & the Body (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 03:50 PM - 5:30pm,HEAFEY 129,"Newsom Kerr, Matthew L.",4.00,1
HIST 124 (59924),Hist Sexually Trans Diseases,"Gender, Sexuality & the Body (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 03:50 PM - 5:30pm,HEAFEY 129,"Newsom Kerr, Matthew L.",5.00,1
WGST 140A (60888),Hist Sexually Trans Diseases,"Gender, Sexuality & the Body (Pathway), Values Science Technology (Pathway), Science Technology & Society",TR 03:50 PM - 5:30pm,HEAFEY 129,"Newsom Kerr, Matthew L.",5.00,1
WGST 149 (60131),Feminist Theologies,"Gender, Sexuality & the Body (Pathway), Religion Theology & Culture 3",TR 10:20 AM - 12pm,WALSH MULP,"Barros, Pearl Maria",5.00,None
HIST 122 (58758),The Holocaust,"Human Rights (Pathway), Paradigm Shifts (Pathway), Cultures and Ideas 3",TR 02:00 PM - 3:40pm,OCONR 103,"Specter, Matthew",5.00,None
ARAB 137 (58824),Arabic Culture and Society,"Islamic Studies (Pathway), Politics & Religion (Pathway), Race Place & Soc Inequalities (Pathway), Cultures and Ideas 3",MW 03:30 PM - 5:15pm,HEAFEY 125,"Kadalah, Mohammed",5.00,15
ARAB 171 (59934),The Quran as Literature,"Islamic Studies (Pathway), Religion Theology & Culture 2",MWF 01:00 PM - 2:05pm,HEAFEY 125,"Kadalah, Mohammed",5.00,14
SCTR 19 (59171),Religions of the Book,"Islamic Studies (Pathway), Religion Theology & Culture 1",MWF 11:45 AM - 12:50pm,DOWD 208,"Giddings, Janet M",4.00,15
ENGL 175EL (60479),Advanced Creative Nonfiction,"Justice and the Arts (Pathway), Experiential Learning for Social Justice",TR 02:00 PM - 3:40pm,KENNA 109,"McIsaac, Claudia M",5.00,None
ENGL 176 (58685),Creative Wrtg & Social Justice,"Justice and the Arts (Pathway), Sustainability (Pathway), Vocation (Pathway), Arts, Experiential Learning for Social Justice",TR 10:20 AM - 12pm,OCONR 201,"Harris, Kai",5.00,None
MUSC 133 (60141),Music in the Community,"Justice and the Arts (Pathway), Civic Engagement, Experiential Learning for Social Justice",R 03:50 PM - 7:20pm,MDF 106,"Furuta, Ray Mathew",5.00,None
THTR 189 (60024),Social Justice and the Arts,"Justice and the Arts (Pathway), Vocation (Pathway), Experiential Learning for Social Justice",TR 12:10 PM - 1:50pm,MAYER 231,"Thorstenson, Brian",5.00,None
ENGL 115 (59900),Argumentation,"Law & Social Justice (Pathway), Advanced Writing",TR 02:00 PM - 3:40pm,VARSI 231,"Billings, Simone Jacqueline",5.00,None
BUSN 196 (59283),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)",TBA,TBA,"Mains, William James",1.00,12
BUSN 196 (59305),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)",TBA,TBA,"Caffey, John Franklin",1.00,None
BUSN 196 (59306),Leadership Practicum,"Leading People, Org & Soc Chng (Pathway)",TBA,TBA,"Versteeg, Brenda Joyce",1.00,None
COEN 19 (59624),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 01:00 PM - 2:05pm,OCONR 206,"Walden, Byron L",4.00,None
COEN 19 (59545),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 02:15 PM - 3:20pm,SCDI 3302,"Grice, Joshua",4.00,None
COEN 19 (59546),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 03:30 PM - 4:35pm,SCDI 3302,"Grice, Joshua",4.00,None
COEN 19 (59622),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,HEAFEY 122,"Jedlovec, Phillip James",4.00,None
COEN 19 (59623),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 11:45 AM - 12:50pm,OCONR 206,"Walden, Byron L",4.00,None
HIST 97 (58756),War & Peace:Modern Middle East,"Paradigm Shifts (Pathway), Politics & Religion (Pathway), Cultures and Ideas 3",MWF 01:00 PM - 2:05pm,ALMSC 301,"Hanania, Marwan Daoud",4.00,3
MATH 51 (58810),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 01:00 PM - 2:05pm,OCONR 206,"Walden, Byron L",4.00,None
MATH 51 (58784),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 02:15 PM - 3:20pm,SCDI 3302,"Grice, Joshua",4.00,None
MATH 51 (58785),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 03:30 PM - 4:35pm,SCDI 3302,"Grice, Joshua",4.00,None
MATH 51 (58794),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 10:30 AM - 11:35am,HEAFEY 122,"Jedlovec, Phillip James",4.00,None
MATH 51 (58795),Discrete Mathematics,"Paradigm Shifts (Pathway), The Digital Age (Pathway)",MWF 11:45 AM - 12:50pm,OCONR 206,"Walden, Byron L",4.00,None
PHIL 19 (59963),Knowledge and Reality,"Paradigm Shifts (Pathway), Advanced Writing",MWF 02:15 PM - 3:20pm,CASA 7,"Sars, Nicholas J",4.00,22
TESP 50 (59183),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2",MWF 04:45 PM - 5:50pm,KENNA 111,"Raby, Elyse",4.00,25
TESP 50 (59803),Catholic Theology: Foundations,"Paradigm Shifts (Pathway), Religion Theology & Culture 2",TR 12:10 PM - 1:50pm,CASA 8,"Schlesinger, Eugene Richard",4.00,2
TESP 124 (59186),Theology of Marriage,"Paradigm Shifts (Pathway), Religion Theology & Culture 3",TR 02:00 PM - 3:40pm,KENNA 102,"Vance-Trembath, Sally M",5.00,1
TESP 124 (59180),Theology of Marriage,"Paradigm Shifts (Pathway), Religion Theology & Culture 3",TR 10:20 AM - 12pm,BERGIN 116,"Vance-Trembath, Sally M",5.00,None
HIST 120 (58748),The Crusades,"Politics & Religion (Pathway), Religion Theology & Culture 2",MWF 11:45 AM - 12:50pm,OCONR 201,"Turley, Thomas P",5.00,1
ETHN 20 (60609),Intro to Latina/o/x Studies,"Race Place & Soc Inequalities (Pathway), Diversity",TR 12:10 PM - 1:50pm,VARI 128,"Sampaio, Anna Christina",4.00,None
CENG 115 (59515),Civil Engineering Materials,"Sustainability (Pathway), Values Science Technology (Pathway)",TR 10:20 AM - 12pm,SCDI 1308,"Nilsson, Tonya L",4.00,5
CENG 115L (59516),Civil Engineering Material Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",R 02:15 PM - 5pm,ALAM 111,"Pachmayer, Karen",1.00,4
CENG 115L (59531),Civil Engineering Material Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",T 02:15 PM - 5pm,ALAM 111,"Nilsson, Tonya L",1.00,1
CENG 140 (59501),Water Resources Engineering,"Sustainability (Pathway), Values Science Technology (Pathway)",MWF 01:00 PM - 2:05pm,SCDI 3116,"Doyle, Laura A",4.00,19
CENG 140L (59511),Water Resources Engr Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",F 02:15 PM - 3:30pm,HEAFEY 202,"Doyle, Laura A",1.00,2
CENG 140L (60050),Water Resources Engr Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",F 03:45 PM - 5pm,HEAFEY 202,"Doyle, Laura A",1.00,18
CENG 143 (59502),Environmental Engineering,"Sustainability (Pathway), Values Science Technology (Pathway)",MWF 10:30 AM - 11:35am,SCDI 1322,"Amirbahman, Aria",3.00,11
CENG 143L (59512),Environmental Engineering Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",T 02:15 PM - 5pm,SCDI 1318,"Amirbahman, Aria",1.00,2
CENG 143L (59513),Environmental Engineering Lab,"Sustainability (Pathway), Values Science Technology (Pathway)",W 02:15 PM - 5pm,SCDI 1318,"Amirbahman, Aria",1.00,5
CHEM 103 (59849),Environmental Chemistry,"Sustainability (Pathway), Science Technology & Society",TR 10:20 AM - 12pm,SCDI 3116,"Shachter, Amy Marie",5.00,13
ENGR 1 (60071),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",W 01:00 PM - 2:05pm,SCDI 3302,"Boylan-Ashraf, Anne (Peggy)",1.00,20
ENGR 1 (59677),Intro to Engineering,"Sustainability (Pathway), Science Technology & Society, Partial Credit Civic Engagement",T 12:10 PM - 1:15pm,SCDI 1308,"Morusupalli, Raghavendra",1.00,None
